The Gnasher	hax
Jalal's Mane	dra
The Scalper	9ta
Bloodmoon	7sb
Djinnslayer	7sm
Deathbit	9tk
Warshrike	7bk
Gutsiphon	6rx
Razoredge	7ha
Gore Ripper	
Demonlimb	7sp
Steelshade	ulm
Tomb Reaver	7pa
Deaths's Web	7gw
Nature's Peace	rin
Azurewrath	7cr
Seraph's Hymn	amu
Zakarum's Salvation	
Fleshripper	7kr
Odium	
Horizon's Tornado	7fl
Stone Crusher	7wh
Jadetalon	7wb
Shadowdancer	uhb
Cerebus	drb
Tyrael's Might	uar
Souldrain	umg
Runemaster	72a
Deathcleaver	7wa
Executioner's Justice	7gi
Stoneraven	amd
Leviathan	uld
Larzuk's Champion	
Wisp	rin
Gargoyle's Bite	7ts
Lacerator	7b8
Mang Song's Lesson	6ws
Viperfork	7br
Ethereal Edge	7ba
Demonhorn's Edge	bad
The Reaper's Toll	7s8
Spiritkeeper	drd
Hellrack	6hx
Alma Negra	pac
Darkforge Spawn	nef
Widowmaker	6sw
Bloodraven's Charge	amb
Ghostflame	7bl
Shadowkiller	7cs
Gimmershred	7ta
Griffon's Eye	ci3
Windhammer	7m7
Thunderstroke	amf
Giantmaimer	
Demon's Arch	7s7
Boneflame	nee
Steelpillar	7p7
Nightwing's Veil	uhm
Crown of Ages	urn
Andariel's Visage	usk
Darkfear	ulm
Dragonscale	pae
Steel Carapice	uul
Medusa's Gaze	uow
Ravenlore	dre
Boneshade	7bw
Nethercrow	
Flamebellow	7gs
Fathom	obf
Wolfhowl	bac
Spirit Ward	uts
Kira's Guardian	ci2
Ormus' Robes	uui
Gheed's Fortune	cm3
Stormlash	7fl
Halaberd's Reign	bae
Warriv's Warder	
Spike Thorn	upk
Dracul's Grasp	uvg
Frostwind	7ls
Templar's Might	uar
Eschuta's temper	obc
Firelizard's Talons	7lw
Sandstorm Trek	uvb
Marrowwalk	umb
Heaven's Light	7sc
Merman's Speed	
Arachnid Mesh	ulc
Nosferatu's Coil	uvc
Metalgrid	amu
Verdugo's Hearty Cord	umc
Sigurd's Staunch	
Carrion Wind	rin
Giantskull	uh9
Ironward	7ws
Annihilus	cm1
Arioc's Needle	7sr
Cranebeak	7mp
Nord's Tenderizer	7cl
Earthshifter	7gm
Wraithflight	7gl
Bonehew	7o7
Ondal's Wisdom	6cs
The Reedeemer	7sc
Headhunter's Glory	ush
Steelrend	uhg
Rainbow Facet	jew
Rainbow Facet	jew
Rainbow Facet	jew
Rainbow Facet	jew
Rainbow Facet	jew
Rainbow Facet	jew
Rainbow Facet	jew
Rainbow Facet	jew
Hellfire Torch	cm2
