Hand Axe	hax
Edge Bow	8sb
Razor Bow	8hb
Cedar Bow	8lb
Double Bow	8cb
Short Siege Bow	8s8
Long Siege Bow	8l8
Rune Bow	8sw
Gothic Bow	8lw
Arbalest	8lx
Siege Crossbow	8mx
Balista	8hx
Chu-Ko-Nu	8rx
KhalimFlail	qf1
SuperKhalimFlail	qf2
Expansion	
Katar	ktr
Wrist Blade	wrb
Hatchet Hands	axf
Cestus	ces
Claws	clw
Blade Talons	btl
Scissors Katar	skr
Quhab	9ar
Wrist Spike	9wb
Fascia	9xf
Hand Scythe	9cs
Greater Claws	9lw
Greater Talons	9tw
Scissors Quhab	9qr
Suwayyah	7ar
Wrist Sword	7wb
War Fist	7xf
Battle Cestus	7cs
Feral Claws	7lw
Runic Talons	7tw
Scissors Suwayyah	7qr
Tomahawk	7ha
Small Crescent	7ax
Ettin Axe	72a
War Spike	7mp
Berserker Axe	7wa
Feral Axe	7la
Silver Edged Axe	7ba
Decapitator	7bt
Champion Axe	7ga
Glorious Axe	7gi
Polished Wand	7wn
Ghost Wand	7yw
Lich Wand	7bw
Unearthed Wand	7gw
Truncheon	7cl
Mighty Scepter	7sc
Seraph Rod	7qs
Caduceus	7ws
Tyrant Club	7sp
Reinforced Mace	7ma
Devil Star	7mt
Scourge	7fl
Legendary Mallet	7wh
Ogre Maul	7m7
Thunder Maul	7gm
Falcata	7ss
Ataghan	7sm
Elegant Blade	7sb
Hydra Edge	7fc
Phase Blade	7cr
Conquest Sword	7bs
Cryptic Sword	7ls
Mythical Sword	7wd
Legend Sword	72h
Highland Blade	7cm
Balrog Blade	7gs
Champion Sword	7b7
Colossal Sword	7fb
Colossus Blade	7gd
Bone Knife	7dg
Mithral Point	7di
Fanged Knife	7kr
Legend Spike	7bl
Flying Knife	7tk
Flying Axe	7ta
Winged Knife	7bk
Winged Axe	7b8
Hyperion Javelin	7ja
Stygian Pilum	7pi
Balrog Spear	7s7
Ghost Glaive	7gl
Winged Harpoon	7ts
Hyperion Spear	7sr
Stygian Pike	7tr
Mancatcher	7br
Ghost Spear	7st
War Pike	7p7
Ogre Axe	7o7
Colossus Voulge	7vo
Thresher	7s8
Cryptic Axe	7pa
Great Poleaxe	7h7
Giant Thresher	7wc
Walking Stick	6ss
Stalagmite	6ls
Elder Staff	6cs
Shillelah	6bs
Archon Staff	6ws
Spider Bow	6sb
Blade Bow	6hb
Shadow Bow	6lb
Great Bow	6cb
Diamond Bow	6s7
Crusader Bow	6l7
Ward Bow	6sw
Hydra Bow	6lw
Pellet Bow	6lx
Gorgon Crossbow	6mx
Colossus Crossbow	6hx
Demon Crossbow	6rx
Eagle Orb	ob1
Sacred Globe	ob2
Smoked Sphere	ob3
Clasped Orb	ob4
Dragon Stone	ob5
Stag Bow	am1
Reflex Bow	am2
Maiden Spear	am3
Maiden Pike	am4
Maiden Javelin	am5
Glowing Orb	ob6
Crystalline Globe	ob7
Cloudy Sphere	ob8
Sparkling Ball	ob9
Swirling Crystal	oba
Ashwood Bow	am6
Ceremonial Bow	am7
Ceremonial Spear	am8
Ceremonial Pike	am9
Ceremonial Javelin	ama
Heavenly Stone	obb
Eldritch Orb	obc
Demon Heart	obd
Vortex Orb	obe
Dimensional Shard	obf
Matriarchal Bow	amb
Grand Matron Bow	amc
Matriarchal Spear	amd
Matriarchal Pike	ame
MatriarchalJavelin	amf
